Time_Stamp,ID,Energy _Stamp,Waste _Stamp,Event
4.34,2,0,0,New Task
4.34,2,0,0,Assign the line1
4.34,2,0,0,Preprocessing1 (Begin)
9.23,3,2.17,0,Processing1 (Begin)
9.23,4,2.17,0,Processing1 (Begin)
9.23,3,11.95,0.2,Task Completed1
13.3,5,11.95,0.2,New Task
13.3,5,11.95,0.2,Assign the line2
13.3,5,11.95,0.2,Preprocessing2 (Begin)
18.92,6,16.87,0.2,Processing2 (Begin)
18.92,7,16.87,0.2,Processing2 (Begin)
18.92,6,25.29,0.35,Task Completed2
26.23,8,25.29,0.35,New Task
26.23,8,25.29,0.35,Assign the line2
26.23,8,25.29,0.35,Preprocessing2 (Begin)
26.69,9,28,0.35,New Task
26.69,9,28,0.35,Assign the line1
26.69,9,28,0.35,Preprocessing1 (Begin)
30.93,10,36.73,0.35,Processing2 (Begin)
30.93,11,36.73,0.35,Processing2 (Begin)
30.93,10,43.78,0.5,Task Completed2
31.33,12,43.78,0.5,Processing1 (Begin)
31.33,13,43.78,0.5,Processing1 (Begin)
31.33,12,53.06,0.7,Task Completed1
32.92,14,53.06,0.7,New Task
32.92,14,53.06,0.7,Assign the line1
32.92,14,53.06,0.7,Preprocessing1 (Begin)
34.27,15,53.85,0.7,New Task
34.27,15,53.85,0.7,Assign the line1
37.83,16,53.85,0.7,Processing1 (Begin)
37.83,17,53.85,0.7,Processing1 (Begin)
37.83,16,63.68,0.9,Task Completed1
37.83,15,63.68,0.9,Preprocessing1 (Begin)
42.65,18,63.68,0.9,Processing1 (Begin)
42.65,19,63.68,0.9,Processing1 (Begin)
42.65,18,73.31,1.1,Task Completed1
56.42,20,73.31,1.1,New Task
56.42,20,73.31,1.1,Assign the line1
56.42,20,73.31,1.1,Preprocessing1 (Begin)
61.42,21,80.2,1.1,Processing1 (Begin)
61.42,22,80.2,1.1,Processing1 (Begin)
61.42,21,90.2,1.3,Task Completed1
71.68,23,90.2,1.3,New Task
71.68,23,90.2,1.3,Assign the line2
71.68,23,90.2,1.3,Preprocessing2 (Begin)
76.68,24,105.28,1.3,New Task
76.68,24,105.28,1.3,Assign the line1
76.68,24,105.28,1.3,Preprocessing1 (Begin)
76.74,25,112.91,1.3,Processing2 (Begin)
76.74,26,112.91,1.3,Processing2 (Begin)
76.74,25,120.49,1.45,Task Completed2
80.6,27,120.49,1.45,New Task
80.6,27,120.49,1.45,Assign the line1
81.32,28,120.49,1.45,Processing1 (Begin)
81.32,29,120.49,1.45,Processing1 (Begin)
81.32,28,129.76,1.65,Task Completed1
81.32,27,129.76,1.65,Preprocessing1 (Begin)
82.77,30,129.76,1.65,New Task
82.77,30,129.76,1.65,Assign the line2
82.77,30,129.76,1.65,Preprocessing2 (Begin)
86.14,31,132,1.65,Processing1 (Begin)
86.14,32,132,1.65,Processing1 (Begin)
86.14,31,141.65,1.85,Task Completed1
87.62,33,141.65,1.85,Processing2 (Begin)
87.62,34,141.65,1.85,Processing2 (Begin)
87.62,33,148.92,2,Task Completed2
110.67,35,148.92,2,New Task
110.67,35,148.92,2,Assign the line2
110.67,35,148.92,2,Preprocessing2 (Begin)
115.42,36,157.45,2,Processing2 (Begin)
115.42,37,157.45,2,Processing2 (Begin)
115.42,36,164.58,2.15,Task Completed2
115.49,38,164.58,2.15,New Task
115.49,38,164.58,2.15,Assign the line2
115.49,38,164.58,2.15,Preprocessing2 (Begin)
120.12,39,164.6,2.15,Processing2 (Begin)
120.12,40,164.6,2.15,Processing2 (Begin)
120.12,39,171.55,2.3,Task Completed2
126.24,41,171.55,2.3,New Task
