Place,Time,Marking
p0,4.34,1
p0,4.34,2
p0,4.34,1
P11,4.34,1
p0,4.34,0
P11,4.34,2
P11,4.34,1
P12,4.34,1
pI1,4.34,0
P12,4.34,1
pI1,4.34,0
P12,9.23,0
P13,9.23,1
pI1,9.23,1
P13,9.23,0
p0,13.3,1
p0,13.3,2
p0,13.3,1
P21,13.3,1
p0,13.3,0
P21,13.3,2
P21,13.3,1
P22,13.3,1
pI2,13.3,0
P22,13.3,1
pI2,13.3,0
P22,18.92,0
P23,18.92,1
pI2,18.92,1
P23,18.92,0
p0,26.23,1
p0,26.23,2
p0,26.23,1
P21,26.23,1
p0,26.23,0
P21,26.23,2
P21,26.23,1
P22,26.23,1
pI2,26.23,0
P22,26.23,1
pI2,26.23,0
p0,26.69,1
p0,26.69,2
p0,26.69,1
P11,26.69,1
p0,26.69,0
P11,26.69,2
P11,26.69,1
P12,26.69,1
pI1,26.69,0
P12,26.69,1
pI1,26.69,0
P22,30.93,0
P23,30.93,1
pI2,30.93,1
P23,30.93,0
P12,31.33,0
P13,31.33,1
pI1,31.33,1
P13,31.33,0
p0,32.92,1
p0,32.92,2
p0,32.92,1
P11,32.92,1
p0,32.92,0
P11,32.92,2
P11,32.92,1
P12,32.92,1
pI1,32.92,0
P12,32.92,1
pI1,32.92,0
p0,34.27,1
p0,34.27,2
p0,34.27,1
P11,34.27,1
p0,34.27,0
P11,34.27,2
P12,37.83,0
P13,37.83,1
pI1,37.83,1
P13,37.83,0
P11,37.83,1
P12,37.83,1
pI1,37.83,0
P12,37.83,1
pI1,37.83,0
P12,42.65,0
P13,42.65,1
pI1,42.65,1
P13,42.65,0
p0,56.42,1
p0,56.42,2
p0,56.42,1
P11,56.42,1
p0,56.42,0
P11,56.42,2
P11,56.42,1
P12,56.42,1
pI1,56.42,0
P12,56.42,1
pI1,56.42,0
P12,61.42,0
P13,61.42,1
pI1,61.42,1
P13,61.42,0
p0,71.68,1
p0,71.68,2
p0,71.68,1
P21,71.68,1
p0,71.68,0
P21,71.68,2
P21,71.68,1
P22,71.68,1
pI2,71.68,0
P22,71.68,1
pI2,71.68,0
p0,76.68,1
p0,76.68,2
p0,76.68,1
P11,76.68,1
p0,76.68,0
P11,76.68,2
P11,76.68,1
P12,76.68,1
pI1,76.68,0
P12,76.68,1
pI1,76.68,0
P22,76.74,0
P23,76.74,1
pI2,76.74,1
P23,76.74,0
p0,80.6,1
p0,80.6,2
p0,80.6,1
P11,80.6,1
p0,80.6,0
P11,80.6,2
P12,81.32,0
P13,81.32,1
pI1,81.32,1
P13,81.32,0
P11,81.32,1
P12,81.32,1
pI1,81.32,0
P12,81.32,1
pI1,81.32,0
p0,82.77,1
p0,82.77,2
p0,82.77,1
P21,82.77,1
p0,82.77,0
P21,82.77,2
P21,82.77,1
P22,82.77,1
pI2,82.77,0
P22,82.77,1
pI2,82.77,0
P12,86.14,0
P13,86.14,1
pI1,86.14,1
P13,86.14,0
P22,87.62,0
P23,87.62,1
pI2,87.62,1
P23,87.62,0
p0,110.67,1
p0,110.67,2
p0,110.67,1
P21,110.67,1
p0,110.67,0
P21,110.67,2
P21,110.67,1
P22,110.67,1
pI2,110.67,0
P22,110.67,1
pI2,110.67,0
P22,115.42,0
P23,115.42,1
pI2,115.42,1
P23,115.42,0
p0,115.49,1
p0,115.49,2
p0,115.49,1
P21,115.49,1
p0,115.49,0
P21,115.49,2
P21,115.49,1
P22,115.49,1
pI2,115.49,0
P22,115.49,1
pI2,115.49,0
P22,120.12,0
P23,120.12,1
pI2,120.12,1
P23,120.12,0
p0,126.24,1
p0,126.24,2
p0,126.24,1
P11,126.24,1
p0,126.24,0
P11,126.24,2
P11,126.24,1
P12,126.24,1
pI1,126.24,0
P12,126.24,1
pI1,126.24,0
P12,131.24,0
P13,131.24,1
pI1,131.24,1
P13,131.24,0
p0,131.37,1
p0,131.37,2
p0,131.37,1
P11,131.37,1
p0,131.37,0
P11,131.37,2
P11,131.37,1
P12,131.37,1
pI1,131.37,0
P12,131.37,1
pI1,131.37,0
p0,135.72,1
p0,135.72,2
p0,135.72,1
P11,135.72,1
p0,135.72,0
P11,135.72,2
P12,135.91,0
P13,135.91,1
pI1,135.91,1
P11,135.91,1
P12,135.91,1
pI1,135.91,0
P12,135.91,1
pI1,135.91,0
P13,135.91,0
p0,138.24,1
p0,138.24,2
p0,138.24,1
P21,138.24,1
p0,138.24,0
P21,138.24,2
P21,138.24,1
P22,138.24,1
pI2,138.24,0
P22,138.24,1
pI2,138.24,0
p0,138.68,1
p0,138.68,2
p0,138.68,1
P21,138.68,1
p0,138.68,0
P21,138.68,2
P12,140.93,0
P13,140.93,1
pI1,140.93,1
P13,140.93,0
P22,143.62,0
P23,143.62,1
pI2,143.62,1
P21,143.62,1
P22,143.62,1
pI2,143.62,0
P22,143.62,1
pI2,143.62,0
P23,143.62,0
p0,145.04,1
p0,145.04,2
p0,145.04,1
P11,145.04,1
p0,145.04,0
P11,145.04,2
P11,145.04,1
P12,145.04,1
pI1,145.04,0
P12,145.04,1
pI1,145.04,0
P22,148.43,0
P23,148.43,1
pI2,148.43,1
P23,148.43,0
P12,150.12,0
P13,150.12,1
pI1,150.12,1
P13,150.12,0
p0,159.46,1
p0,159.46,2
p0,159.46,1
P11,159.46,1
p0,159.46,0
P11,159.46,2
P11,159.46,1
P12,159.46,1
pI1,159.46,0
P12,159.46,1
pI1,159.46,0
P12,164.07,0
P13,164.07,1
pI1,164.07,1
P13,164.07,0
p0,187.35,1
p0,187.35,2
p0,187.35,1
P11,187.35,1
p0,187.35,0
P11,187.35,2
P11,187.35,1
P12,187.35,1
pI1,187.35,0
P12,187.35,1
pI1,187.35,0
P12,191.87,0
P13,191.87,1
pI1,191.87,1
P13,191.87,0
p0,208.85,1
p0,208.85,2
p0,208.85,1
P21,208.85,1
p0,208.85,0
P21,208.85,2
P21,208.85,1
P22,208.85,1
pI2,208.85,0
P22,208.85,1
pI2,208.85,0
p0,213.44,1
p0,213.44,2
p0,213.44,1
P11,213.44,1
p0,213.44,0
P11,213.44,2
P11,213.44,1
P12,213.44,1
pI1,213.44,0
P12,213.44,1
pI1,213.44,0
P22,213.62,0
P23,213.62,1
pI2,213.62,1
P23,213.62,0
P12,218.55,0
P13,218.55,1
pI1,218.55,1
P13,218.55,0
p0,247.78,1
p0,247.78,2
p0,247.78,1
P11,247.78,1
p0,247.78,0
P11,247.78,2
P11,247.78,1
P12,247.78,1
pI1,247.78,0
P12,247.78,1
pI1,247.78,0
P12,252.75,0
P13,252.75,1
pI1,252.75,1
P13,252.75,0
p0,273.39,1
p0,273.39,2
p0,273.39,1
P21,273.39,1
p0,273.39,0
P21,273.39,2
P21,273.39,1
P22,273.39,1
pI2,273.39,0
P22,273.39,1
pI2,273.39,0
p0,276.5,1
p0,276.5,2
p0,276.5,1
P11,276.5,1
p0,276.5,0
P11,276.5,2
P11,276.5,1
P12,276.5,1
pI1,276.5,0
P12,276.5,1
pI1,276.5,0
P22,278.33,0
P23,278.33,1
pI2,278.33,1
P23,278.33,0
P12,281.32,0
P13,281.32,1
pI1,281.32,1
P13,281.32,0
p0,292.92,1
p0,292.92,2
p0,292.92,1
P11,292.92,1
p0,292.92,0
P11,292.92,2
P11,292.92,1
P12,292.92,1
pI1,292.92,0
P12,292.92,1
pI1,292.92,0
P12,297.65,0
P13,297.65,1
pI1,297.65,1
P13,297.65,0
p0,321.62,1
p0,321.62,2
p0,321.62,1
P21,321.62,1
p0,321.62,0
P21,321.62,2
P21,321.62,1
P22,321.62,1
pI2,321.62,0
P22,321.62,1
pI2,321.62,0
p0,326.15,1
p0,326.15,2
p0,326.15,1
P11,326.15,1
p0,326.15,0
P11,326.15,2
P11,326.15,1
P12,326.15,1
pI1,326.15,0
P12,326.15,1
pI1,326.15,0
P22,326.56,0
P23,326.56,1
pI2,326.56,1
P23,326.56,0
p0,327.83,1
p0,327.83,2
p0,327.83,1
P21,327.83,1
p0,327.83,0
P21,327.83,2
P21,327.83,1
P22,327.83,1
pI2,327.83,0
P22,327.83,1
pI2,327.83,0
p0,328.42,1
p0,328.42,2
p0,328.42,1
P21,328.42,1
p0,328.42,0
P21,328.42,2
P12,331.0,0
P13,331.0,1
pI1,331.0,1
P13,331.0,0
P22,332.69,0
P23,332.69,1
pI2,332.69,1
P21,332.69,1
P22,332.69,1
pI2,332.69,0
P22,332.69,1
pI2,332.69,0
P23,332.69,0
P22,337.64,0
P23,337.64,1
pI2,337.64,1
P23,337.64,0
p0,341.48,1
p0,341.48,2
p0,341.48,1
P21,341.48,1
p0,341.48,0
P21,341.48,2
P21,341.48,1
P22,341.48,1
pI2,341.48,0
P22,341.48,1
pI2,341.48,0
p0,342.86,1
p0,342.86,2
p0,342.86,1
P11,342.86,1
p0,342.86,0
P11,342.86,2
P11,342.86,1
P12,342.86,1
pI1,342.86,0
P12,342.86,1
pI1,342.86,0
P22,346.75,0
P23,346.75,1
pI2,346.75,1
P23,346.75,0
P12,347.44,0
P13,347.44,1
pI1,347.44,1
